name,contour_path,units,w,h,d,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
196,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/196_silhouette_contour.svg,,,,,Item_196::Final_Geom,Item_196::Face_Curves,Item_196::Original_Curve,AutoCAD::Item_196::Scaled_Curve,AutoCAD::Item_196::Curve_Bbox,Item_196::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/196_silhouette.png,400,551,69,105,344,454,69,55,105,96
197,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/197_silhouette_contour.svg,,,,,Item_197::Final_Geom,Item_197::Face_Curves,Item_197::Original_Curve,AutoCAD::Item_197::Scaled_Curve,AutoCAD::Item_197::Curve_Bbox,Item_197::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/197_silhouette.png,487,648,94,120,432,570,94,54,120,77
198,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/198_silhouette_contour.svg,,,,,Item_198::Final_Geom,Item_198::Face_Curves,Item_198::Original_Curve,AutoCAD::Item_198::Scaled_Curve,AutoCAD::Item_198::Curve_Bbox,Item_198::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/198_silhouette.png,3466,4582,242,0,3207,4351,242,258,0,230
200,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/200_silhouette_contour.svg,,,,,Item_200::Final_Geom,Item_200::Face_Curves,Item_200::Original_Curve,AutoCAD::Item_200::Scaled_Curve,AutoCAD::Item_200::Curve_Bbox,Item_200::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/200_silhouette.png,2721,4817,395,401,2334,4416,395,386,401,400
204,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/204_silhouette_contour.svg,,,,,Item_204::Final_Geom,Item_204::Face_Curves,Item_204::Original_Curve,AutoCAD::Item_204::Scaled_Curve,AutoCAD::Item_204::Curve_Bbox,Item_204::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/204_silhouette.png,3000,2000,815,366,2219,1655,815,780,366,344
205,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/205_silhouette_contour.svg,,,,,Item_205::Final_Geom,Item_205::Face_Curves,Item_205::Original_Curve,AutoCAD::Item_205::Scaled_Curve,AutoCAD::Item_205::Curve_Bbox,Item_205::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/205_silhouette.png,3120,2784,203,205,2950,2557,203,169,205,226
206,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/206_silhouette_contour.svg,,,,,Item_206::Final_Geom,Item_206::Face_Curves,Item_206::Original_Curve,AutoCAD::Item_206::Scaled_Curve,AutoCAD::Item_206::Curve_Bbox,Item_206::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/206_silhouette.png,2000,3000,315,1279,1722,2418,315,277,1279,581
208,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/208_silhouette_contour.svg,,,,,Item_208::Final_Geom,Item_208::Face_Curves,Item_208::Original_Curve,AutoCAD::Item_208::Scaled_Curve,AutoCAD::Item_208::Curve_Bbox,Item_208::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/208_silhouette.png,9004,7203,3326,1248,5802,6506,3326,3201,1248,696
209,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/209_silhouette_contour.svg,,,,,Item_209::Final_Geom,Item_209::Face_Curves,Item_209::Original_Curve,AutoCAD::Item_209::Scaled_Curve,AutoCAD::Item_209::Curve_Bbox,Item_209::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/209_silhouette.png,2000,3000,148,846,1357,2607,148,642,846,392
210,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/210_silhouette_contour.svg,,,,,Item_210::Final_Geom,Item_210::Face_Curves,Item_210::Original_Curve,AutoCAD::Item_210::Scaled_Curve,AutoCAD::Item_210::Curve_Bbox,Item_210::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/210_silhouette.png,1452,1328,362,170,1092,980,362,359,170,347
