name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
75e,75,e,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75e_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75e::Final_Geom,Item_75e::Face_Curves,Item_75e::Original_Curve,AutoCAD::Item_75e::Scaled_Curve,AutoCAD::Item_75e::Curve_Bbox,Item_75e::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75e_silhouette.png,528,452,0,0,527,451,0,0,0,0
75f,75,f,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75f_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75f::Final_Geom,Item_75f::Face_Curves,Item_75f::Original_Curve,AutoCAD::Item_75f::Scaled_Curve,AutoCAD::Item_75f::Curve_Bbox,Item_75f::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75f_silhouette.png,520,447,0,0,519,446,0,0,0,0
75g,75,g,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75g_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75g::Final_Geom,Item_75g::Face_Curves,Item_75g::Original_Curve,AutoCAD::Item_75g::Scaled_Curve,AutoCAD::Item_75g::Curve_Bbox,Item_75g::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75g_silhouette.png,537,448,0,0,536,447,0,0,0,0
75h,75,h,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75h_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75h::Final_Geom,Item_75h::Face_Curves,Item_75h::Original_Curve,AutoCAD::Item_75h::Scaled_Curve,AutoCAD::Item_75h::Curve_Bbox,Item_75h::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75h_silhouette.png,530,452,0,0,529,451,0,0,0,0
75i,75,i,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75i_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75i::Final_Geom,Item_75i::Face_Curves,Item_75i::Original_Curve,AutoCAD::Item_75i::Scaled_Curve,AutoCAD::Item_75i::Curve_Bbox,Item_75i::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75i_silhouette.png,522,447,0,0,521,446,0,0,0,0
75j,75,j,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75j_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75j::Final_Geom,Item_75j::Face_Curves,Item_75j::Original_Curve,AutoCAD::Item_75j::Scaled_Curve,AutoCAD::Item_75j::Curve_Bbox,Item_75j::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75j_silhouette.png,528,446,0,0,527,445,0,0,0,0
75k,75,k,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75k_silhouette_contour.svg,cm,33,28.1,10.2,FALSE,Item_75k::Final_Geom,Item_75k::Face_Curves,Item_75k::Original_Curve,AutoCAD::Item_75k::Scaled_Curve,AutoCAD::Item_75k::Curve_Bbox,Item_75k::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Silhouettes/Combined/75k_silhouette.png,536,452,0,0,535,451,0,0,0,0
75,75,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75_silhouette_contour.svg,cm,424,28.1,10.2,FALSE,Item_75::Final_Geom,Item_75::Face_Curves,Item_75::Original_Curve,AutoCAD::Item_75::Scaled_Curve,AutoCAD::Item_75::Curve_Bbox,Item_75::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/75_silhouette.png,8127,709,0,0,8126,708,0,0,0,0
76,76,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/76_silhouette_contour.svg,cm,9.3,11.9,3,FALSE,Item_76::Final_Geom,Item_76::Face_Curves,Item_76::Original_Curve,AutoCAD::Item_76::Scaled_Curve,AutoCAD::Item_76::Curve_Bbox,Item_76::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/76_silhouette.png,714,800,48,9,650,773,48,63,9,26
77,77,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/77_silhouette_contour.svg,cm,10,11.9,3.9,FALSE,Item_77::Final_Geom,Item_77::Face_Curves,Item_77::Original_Curve,AutoCAD::Item_77::Scaled_Curve,AutoCAD::Item_77::Curve_Bbox,Item_77::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/77_silhouette.png,707,800,34,12,668,754,34,38,12,45
78,78,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/78_silhouette_contour.svg,cm,4.9,9.2,3,FALSE,Item_78::Final_Geom,Item_78::Face_Curves,Item_78::Original_Curve,AutoCAD::Item_78::Scaled_Curve,AutoCAD::Item_78::Curve_Bbox,Item_78::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/78_silhouette.png,622,800,16,10,599,779,16,22,10,20
79,79,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/79_silhouette_contour.svg,cm,14.6,14.6,4.8,FALSE,Item_79::Final_Geom,Item_79::Face_Curves,Item_79::Original_Curve,AutoCAD::Item_79::Scaled_Curve,AutoCAD::Item_79::Curve_Bbox,Item_79::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/79_silhouette.png,755,800,24,10,739,785,24,15,10,14
80,80,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/80_silhouette_contour.svg,cm,12,12,3.4,FALSE,Item_80::Final_Geom,Item_80::Face_Curves,Item_80::Original_Curve,AutoCAD::Item_80::Scaled_Curve,AutoCAD::Item_80::Curve_Bbox,Item_80::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/80_silhouette.png,615,800,24,11,596,782,24,18,11,17
81,81,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/81_silhouette_contour.svg,cm,5,5,2.1,FALSE,Item_81::Final_Geom,Item_81::Face_Curves,Item_81::Original_Curve,AutoCAD::Item_81::Scaled_Curve,AutoCAD::Item_81::Curve_Bbox,Item_81::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/81_silhouette.png,661,800,21,39,629,761,21,31,39,38
82,82,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/82_silhouette_contour.svg,cm,17.5,4,7.3,TRUE,Item_82::Final_Geom,Item_82::Face_Curves,Item_82::Original_Curve,AutoCAD::Item_82::Scaled_Curve,AutoCAD::Item_82::Curve_Bbox,Item_82::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/82_silhouette.png,433,239,8,7,422,226,8,10,7,12
83,83,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/83_silhouette_contour.svg,cm,1.7,1.7,1.5,FALSE,Item_83::Final_Geom,Item_83::Face_Curves,Item_83::Original_Curve,AutoCAD::Item_83::Scaled_Curve,AutoCAD::Item_83::Curve_Bbox,Item_83::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/83_silhouette.png,345,338,26,9,327,332,26,17,9,5
84,84,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/84_silhouette_contour.svg,cm,3,4.5,0.4,FALSE,Item_84::Final_Geom,Item_84::Face_Curves,Item_84::Original_Curve,AutoCAD::Item_84::Scaled_Curve,AutoCAD::Item_84::Curve_Bbox,Item_84::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/84_silhouette.png,390,276,7,16,372,267,7,17,16,8
85,85,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/85_silhouette_contour.svg,cm,2.0,2.7,0.2,FALSE,Item_85::Final_Geom,Item_85::Face_Curves,Item_85::Original_Curve,AutoCAD::Item_85::Scaled_Curve,AutoCAD::Item_85::Curve_Bbox,Item_85::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/85_silhouette.png,316,391,13,19,287,375,13,28,19,15
86,86,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/86_silhouette_contour.svg,cm,3.15,3.45,0.9,FALSE,Item_86::Final_Geom,Item_86::Face_Curves,Item_86::Original_Curve,AutoCAD::Item_86::Scaled_Curve,AutoCAD::Item_86::Curve_Bbox,Item_86::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/86_silhouette.png,232,328,6,18,222,309,6,9,18,18
87,87,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/87_silhouette_contour.svg,cm,7.6,10,1.5,FALSE,Item_87::Final_Geom,Item_87::Face_Curves,Item_87::Original_Curve,AutoCAD::Item_87::Scaled_Curve,AutoCAD::Item_87::Curve_Bbox,Item_87::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/87_silhouette.png,300,382,11,10,290,377,11,9,10,4
240,240,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/240_silhouette_contour.svg,cm,1.6,1.6,0.1,FALSE,Item_240::Final_Geom,Item_240::Face_Curves,Item_240::Original_Curve,AutoCAD::Item_240::Scaled_Curve,AutoCAD::Item_240::Curve_Bbox,Item_240::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/240_silhouette.png,209,212,5,6,205,208,5,3,6,3
241,241,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/241_silhouette_contour.svg,cm,2.1,2.1,0.25,FALSE,Item_241::Final_Geom,Item_241::Face_Curves,Item_241::Original_Curve,AutoCAD::Item_241::Scaled_Curve,AutoCAD::Item_241::Curve_Bbox,Item_241::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/241_silhouette.png,205,199,0,6,203,197,0,1,6,1
242,242,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/242_silhouette_contour.svg,cm,3.1,3.1,0.07,FALSE,Item_242::Final_Geom,Item_242::Face_Curves,Item_242::Original_Curve,AutoCAD::Item_242::Scaled_Curve,AutoCAD::Item_242::Curve_Bbox,Item_242::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/242_silhouette.png,184,208,2,2,179,204,2,4,2,3
243,243,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/243_silhouette_contour.svg,cm,1.8,1.3,0.1,FALSE,Item_243::Final_Geom,Item_243::Face_Curves,Item_243::Original_Curve,AutoCAD::Item_243::Scaled_Curve,AutoCAD::Item_243::Curve_Bbox,Item_243::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/243_silhouette.png,168,116,13,5,160,109,13,7,5,6
