name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
192,192,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/192_silhouette_contour.svg,in,4,7,4,TRUE,Item_192::Final_Geom,Item_192::Face_Curves,Item_192::Original_Curve,AutoCAD::Item_192::Scaled_Curve,AutoCAD::Item_192::Curve_Bbox,Item_192::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/192_silhouette.png,763,800,57,18,738,780,57,24,18,19
193,193,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/193_silhouette_contour.svg,in,4,7,4,TRUE,Item_193::Final_Geom,Item_193::Face_Curves,Item_193::Original_Curve,AutoCAD::Item_193::Scaled_Curve,AutoCAD::Item_193::Curve_Bbox,Item_193::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/193_silhouette.png,540,800,104,47,418,781,104,121,47,18
194,194,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/194_silhouette_contour.svg,in,4,7,4,TRUE,Item_194::Final_Geom,Item_194::Face_Curves,Item_194::Original_Curve,AutoCAD::Item_194::Scaled_Curve,AutoCAD::Item_194::Curve_Bbox,Item_194::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/194_silhouette.png,768,800,35,0,707,776,35,60,0,23
195,195,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/195_silhouette_contour.svg,cm,19.1,36.5,1.7,FALSE,Item_195::Final_Geom,Item_195::Face_Curves,Item_195::Original_Curve,AutoCAD::Item_195::Scaled_Curve,AutoCAD::Item_195::Curve_Bbox,Item_195::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/195_silhouette.png,451,800,21,14,426,788,21,24,14,11
196,196,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/196_silhouette_contour.svg,cm,42.2,52.6,5,FALSE,Item_196::Final_Geom,Item_196::Face_Curves,Item_196::Original_Curve,AutoCAD::Item_196::Scaled_Curve,AutoCAD::Item_196::Curve_Bbox,Item_196::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/196_silhouette.png,294,376,14,16,288,365,14,5,16,10
197,197,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/197_silhouette_contour.svg,cm,41.1,52.3,5,FALSE,Item_197::Final_Geom,Item_197::Face_Curves,Item_197::Original_Curve,AutoCAD::Item_197::Scaled_Curve,AutoCAD::Item_197::Curve_Bbox,Item_197::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/197_silhouette.png,360,474,17,16,355,466,17,4,16,7
198,198,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/198_silhouette_contour.svg,cm,30.5,68.6,2.7,FALSE,Item_198::Final_Geom,Item_198::Face_Curves,Item_198::Original_Curve,AutoCAD::Item_198::Scaled_Curve,AutoCAD::Item_198::Curve_Bbox,Item_198::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/198_silhouette.png,553,800,14,0,546,780,14,6,0,19
199,199,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/199_silhouette_contour.svg,cm,50,73,3,FALSE,Item_199::Final_Geom,Item_199::Face_Curves,Item_199::Original_Curve,AutoCAD::Item_199::Scaled_Curve,AutoCAD::Item_199::Curve_Bbox,Item_199::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/199_silhouette.png,670,916,9,10,661,909,9,8,10,6
200,200,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/200_silhouette_contour.svg,cm,13.1,24.8,13.1,TRUE,Item_200::Final_Geom,Item_200::Face_Curves,Item_200::Original_Curve,AutoCAD::Item_200::Scaled_Curve,AutoCAD::Item_200::Curve_Bbox,Item_200::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/200_silhouette.png,410,800,20,9,396,789,20,13,9,10
204,204,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/204_silhouette_contour.svg,cm,12.6,11.5,0.8,FALSE,Item_204::Final_Geom,Item_204::Face_Curves,Item_204::Original_Curve,AutoCAD::Item_204::Scaled_Curve,AutoCAD::Item_204::Curve_Bbox,Item_204::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/204_silhouette.png,800,721,28,21,746,681,28,53,21,39
