name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
135,135,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/135_silhouette_contour.svg,cm,71.1,100,10,FALSE,Item_135::Final_Geom,Item_135::Face_Curves,Item_135::Original_Curve,AutoCAD::Item_135::Scaled_Curve,AutoCAD::Item_135::Curve_Bbox,Item_135::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/135_silhouette.png,580,800,9,4,576,793,9,3,4,6
137,137,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/137_silhouette_contour.svg,cm,38,56.2,10,FALSE,Item_137::Final_Geom,Item_137::Face_Curves,Item_137::Original_Curve,AutoCAD::Item_137::Scaled_Curve,AutoCAD::Item_137::Curve_Bbox,Item_137::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/137_silhouette.png,552,800,28,0,541,778,28,10,0,21
138,138,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/138_silhouette_contour.svg,cm,50.2,62.3,1.3,FALSE,Item_138::Final_Geom,Item_138::Face_Curves,Item_138::Original_Curve,AutoCAD::Item_138::Scaled_Curve,AutoCAD::Item_138::Curve_Bbox,Item_138::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/138_silhouette.png,659,800,25,22,635,778,25,23,22,21
139,139,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/139_silhouette_contour.svg,cm,109,238,133,FALSE,Item_139::Final_Geom,Item_139::Face_Curves,Item_139::Original_Curve,AutoCAD::Item_139::Scaled_Curve,AutoCAD::Item_139::Curve_Bbox,Item_139::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/139_silhouette.png,516,661,25,18,500,641,25,15,18,19
140,140,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/140_silhouette_contour.svg,cm,67,103.5,42,TRUE,Item_140::Final_Geom,Item_140::Face_Curves,Item_140::Original_Curve,AutoCAD::Item_140::Scaled_Curve,AutoCAD::Item_140::Curve_Bbox,Item_140::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/140_silhouette.png,800,600,4,11,784,597,4,15,11,2
141,141,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/141_silhouette_contour.svg,cm,9.5,4,9.5,TRUE,Item_141::Final_Geom,Item_141::Face_Curves,Item_141::Original_Curve,AutoCAD::Item_141::Scaled_Curve,AutoCAD::Item_141::Curve_Bbox,Item_141::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/141_silhouette.png,600,800,50,20,579,775,50,20,20,24
142,142,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/142_silhouette_contour.svg,cm,13.4,43.9,13.4,TRUE,Item_142::Final_Geom,Item_142::Face_Curves,Item_142::Original_Curve,AutoCAD::Item_142::Scaled_Curve,AutoCAD::Item_142::Curve_Bbox,Item_142::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/142_silhouette.png,260,737,27,18,222,720,27,37,18,16
143,143,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/143_silhouette_contour.svg,cm,21,6.2,21,TRUE,Item_143::Final_Geom,Item_143::Face_Curves,Item_143::Original_Curve,AutoCAD::Item_143::Scaled_Curve,AutoCAD::Item_143::Curve_Bbox,Item_143::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/143_silhouette.png,800,319,27,45,777,257,27,22,45,61
144,144,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/144_silhouette_contour.svg,cm,12.93,12.93,1,FALSE,Item_144::Final_Geom,Item_144::Face_Curves,Item_144::Original_Curve,AutoCAD::Item_144::Scaled_Curve,AutoCAD::Item_144::Curve_Bbox,Item_144::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/144_silhouette.png,551,527,18,15,531,514,18,19,15,12
145,145,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/145_silhouette_contour.svg,cm,6.63,6.36,1,FALSE,Item_145::Final_Geom,Item_145::Face_Curves,Item_145::Original_Curve,AutoCAD::Item_145::Scaled_Curve,AutoCAD::Item_145::Curve_Bbox,Item_145::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/145_silhouette.png,709,800,37,22,656,772,37,52,22,27
