name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
251,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/251_silhouette_contour.svg,,,,,,Item_251::Final_Geom,Item_251::Face_Curves,Item_251::Original_Curve,AutoCAD::Item_251::Scaled_Curve,AutoCAD::Item_251::Curve_Bbox,Item_251::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/251_silhouette.png,1000,798,116,19,878,775,116,121,19,22
254,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/254_silhouette_contour.svg,,,,,,Item_254::Final_Geom,Item_254::Face_Curves,Item_254::Original_Curve,AutoCAD::Item_254::Scaled_Curve,AutoCAD::Item_254::Curve_Bbox,Item_254::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/254_silhouette.png,779,1000,6,30,772,983,6,6,30,16
265,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/265_silhouette_contour.svg,,,,,,Item_265::Final_Geom,Item_265::Face_Curves,Item_265::Original_Curve,AutoCAD::Item_265::Scaled_Curve,AutoCAD::Item_265::Curve_Bbox,Item_265::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/265_silhouette.png,831,1000,229,133,591,977,229,239,133,22
266,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/266_silhouette_contour.svg,,,,,,Item_266::Final_Geom,Item_266::Face_Curves,Item_266::Original_Curve,AutoCAD::Item_266::Scaled_Curve,AutoCAD::Item_266::Curve_Bbox,Item_266::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/266_silhouette.png,668,1000,16,14,651,977,16,16,14,22
287,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/287_silhouette_contour.svg,,,,,,Item_287::Final_Geom,Item_287::Face_Curves,Item_287::Original_Curve,AutoCAD::Item_287::Scaled_Curve,AutoCAD::Item_287::Curve_Bbox,Item_287::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/287_silhouette.png,1000,607,121,0,744,577,121,255,0,29
288,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/288_silhouette_contour.svg,,,,,,Item_288::Final_Geom,Item_288::Face_Curves,Item_288::Original_Curve,AutoCAD::Item_288::Scaled_Curve,AutoCAD::Item_288::Curve_Bbox,Item_288::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/288_silhouette.png,1000,607,365,121,635,485,365,364,121,121
289,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/289_silhouette_contour.svg,,,,,,Item_289::Final_Geom,Item_289::Face_Curves,Item_289::Original_Curve,AutoCAD::Item_289::Scaled_Curve,AutoCAD::Item_289::Curve_Bbox,Item_289::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/289_silhouette.png,1000,607,395,121,605,485,395,394,121,121
88,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/88_silhouette_contour.svg,,,,,,Item_88::Final_Geom,Item_88::Face_Curves,Item_88::Original_Curve,AutoCAD::Item_88::Scaled_Curve,AutoCAD::Item_88::Curve_Bbox,Item_88::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/88_silhouette.png,667,1000,200,271,501,870,200,165,271,129
89,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/89_silhouette_contour.svg,,,,,,Item_89::Final_Geom,Item_89::Face_Curves,Item_89::Original_Curve,AutoCAD::Item_89::Scaled_Curve,AutoCAD::Item_89::Curve_Bbox,Item_89::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/89_silhouette.png,667,1000,218,252,442,810,218,224,252,189
90,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/90_silhouette_contour.svg,,,,,,Item_90::Final_Geom,Item_90::Face_Curves,Item_90::Original_Curve,AutoCAD::Item_90::Scaled_Curve,AutoCAD::Item_90::Curve_Bbox,Item_90::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/90_silhouette.png,667,1000,169,224,478,918,169,188,224,81
91,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/91_silhouette_contour.svg,,,,,,Item_91::Final_Geom,Item_91::Face_Curves,Item_91::Original_Curve,AutoCAD::Item_91::Scaled_Curve,AutoCAD::Item_91::Curve_Bbox,Item_91::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/91_silhouette.png,1000,667,255,149,766,547,255,233,149,119
92,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/92_silhouette_contour.svg,,,,,,Item_92::Final_Geom,Item_92::Face_Curves,Item_92::Original_Curve,AutoCAD::Item_92::Scaled_Curve,AutoCAD::Item_92::Curve_Bbox,Item_92::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/92_silhouette.png,667,1000,83,145,583,802,83,83,145,197
93,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/93_silhouette_contour.svg,,,,,,Item_93::Final_Geom,Item_93::Face_Curves,Item_93::Original_Curve,AutoCAD::Item_93::Scaled_Curve,AutoCAD::Item_93::Curve_Bbox,Item_93::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/93_silhouette.png,1000,667,86,203,930,447,86,69,203,219
94,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/94_silhouette_contour.svg,,,,,,Item_94::Final_Geom,Item_94::Face_Curves,Item_94::Original_Curve,AutoCAD::Item_94::Scaled_Curve,AutoCAD::Item_94::Curve_Bbox,Item_94::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/94_silhouette.png,1000,667,264,332,731,466,264,268,332,200
95,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/95_silhouette_contour.svg,,,,,,Item_95::Final_Geom,Item_95::Face_Curves,Item_95::Original_Curve,AutoCAD::Item_95::Scaled_Curve,AutoCAD::Item_95::Curve_Bbox,Item_95::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/95_silhouette.png,667,1000,136,238,556,704,136,110,238,295
96,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/96_silhouette_contour.svg,,,,,,Item_96::Final_Geom,Item_96::Face_Curves,Item_96::Original_Curve,AutoCAD::Item_96::Scaled_Curve,AutoCAD::Item_96::Curve_Bbox,Item_96::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/96_silhouette.png,667,1000,123,149,569,830,123,97,149,169
97,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/97_silhouette_contour.svg,,,,,,Item_97::Final_Geom,Item_97::Face_Curves,Item_97::Original_Curve,AutoCAD::Item_97::Scaled_Curve,AutoCAD::Item_97::Curve_Bbox,Item_97::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/97_silhouette.png,1000,667,237,86,797,577,237,202,86,89
98,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/98_silhouette_contour.svg,,,,,,Item_98::Final_Geom,Item_98::Face_Curves,Item_98::Original_Curve,AutoCAD::Item_98::Scaled_Curve,AutoCAD::Item_98::Curve_Bbox,Item_98::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/98_silhouette.png,1000,667,221,182,811,589,221,188,182,77
99,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/99_silhouette_contour.svg,,,,,,Item_99::Final_Geom,Item_99::Face_Curves,Item_99::Original_Curve,AutoCAD::Item_99::Scaled_Curve,AutoCAD::Item_99::Curve_Bbox,Item_99::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/99_silhouette.png,1000,587,72,69,921,511,72,78,69,75
