name,contour_path,units,w,h,d,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
58,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/58_silhouette_contour.svg,,,,,Item_58::Final_Geom,Item_58::Face_Curves,Item_58::Original_Curve,AutoCAD::Item_58::Scaled_Curve,AutoCAD::Item_58::Curve_Bbox,Item_58::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/58_silhouette.png,4752,1055,232,247,4513,829,232,238,247,225
59,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/59_silhouette_contour.svg,,,,,Item_59::Final_Geom,Item_59::Face_Curves,Item_59::Original_Curve,AutoCAD::Item_59::Scaled_Curve,AutoCAD::Item_59::Curve_Bbox,Item_59::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/59_silhouette.png,2807,2043,182,241,2654,1349,182,152,241,693
60,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/60_silhouette_contour.svg,,,,,Item_60::Final_Geom,Item_60::Face_Curves,Item_60::Original_Curve,AutoCAD::Item_60::Scaled_Curve,AutoCAD::Item_60::Curve_Bbox,Item_60::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/60_silhouette.png,3432,3414,399,0,3065,3078,399,366,0,335
61,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/61_silhouette_contour.svg,,,,,Item_61::Final_Geom,Item_61::Face_Curves,Item_61::Original_Curve,AutoCAD::Item_61::Scaled_Curve,AutoCAD::Item_61::Curve_Bbox,Item_61::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/61_silhouette.png,3143,3757,0,284,3142,3560,0,0,284,196
65,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/65_silhouette_contour.svg,,,,,Item_65::Final_Geom,Item_65::Face_Curves,Item_65::Original_Curve,AutoCAD::Item_65::Scaled_Curve,AutoCAD::Item_65::Curve_Bbox,Item_65::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/65_silhouette.png,936,696,293,53,644,596,293,291,53,99
66,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/66_silhouette_contour.svg,,,,,Item_66::Final_Geom,Item_66::Face_Curves,Item_66::Original_Curve,AutoCAD::Item_66::Scaled_Curve,AutoCAD::Item_66::Curve_Bbox,Item_66::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/66_silhouette.png,850,1256,76,152,797,1246,76,52,152,9
67,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/67_silhouette_contour.svg,,,,,Item_67::Final_Geom,Item_67::Face_Curves,Item_67::Original_Curve,AutoCAD::Item_67::Scaled_Curve,AutoCAD::Item_67::Curve_Bbox,Item_67::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/67_silhouette.png,398,380,107,69,338,330,107,59,69,49
68,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/68_silhouette_contour.svg,,,,,Item_68::Final_Geom,Item_68::Face_Curves,Item_68::Original_Curve,AutoCAD::Item_68::Scaled_Curve,AutoCAD::Item_68::Curve_Bbox,Item_68::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/68_silhouette.png,433,366,52,22,357,322,52,75,22,43
69,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/69_silhouette_contour.svg,,,,,Item_69::Final_Geom,Item_69::Face_Curves,Item_69::Original_Curve,AutoCAD::Item_69::Scaled_Curve,AutoCAD::Item_69::Curve_Bbox,Item_69::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/69_silhouette.png,440,396,92,68,369,361,92,70,68,34
70,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/70_silhouette_contour.svg,,,,,Item_70::Final_Geom,Item_70::Face_Curves,Item_70::Original_Curve,AutoCAD::Item_70::Scaled_Curve,AutoCAD::Item_70::Curve_Bbox,Item_70::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/70_silhouette.png,607,287,0,0,606,284,0,0,0,2
71,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/71_silhouette_contour.svg,,,,,Item_71::Final_Geom,Item_71::Face_Curves,Item_71::Original_Curve,AutoCAD::Item_71::Scaled_Curve,AutoCAD::Item_71::Curve_Bbox,Item_71::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/71_silhouette.png,118,124,19,20,98,99,19,19,20,24
72,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/72_silhouette_contour.svg,,,,,Item_72::Final_Geom,Item_72::Face_Curves,Item_72::Original_Curve,AutoCAD::Item_72::Scaled_Curve,AutoCAD::Item_72::Curve_Bbox,Item_72::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/72_silhouette.png,106,106,13,11,91,95,13,14,11,10
74,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/74_silhouette_contour.svg,,,,,Item_74::Final_Geom,Item_74::Face_Curves,Item_74::Original_Curve,AutoCAD::Item_74::Scaled_Curve,AutoCAD::Item_74::Curve_Bbox,Item_74::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/74_silhouette.png,7807,7807,706,632,7059,6964,706,747,632,842
75,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/75_silhouette_contour.svg,,,,,Item_75::Final_Geom,Item_75::Face_Curves,Item_75::Original_Curve,AutoCAD::Item_75::Scaled_Curve,AutoCAD::Item_75::Curve_Bbox,Item_75::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/75_silhouette.png,606,369,5,116,595,150,5,10,116,218
76,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/76_silhouette_contour.svg,,,,,Item_76::Final_Geom,Item_76::Face_Curves,Item_76::Original_Curve,AutoCAD::Item_76::Scaled_Curve,AutoCAD::Item_76::Curve_Bbox,Item_76::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/76_silhouette.png,2000,3000,397,628,1686,2266,397,313,628,733
77,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/77_silhouette_contour.svg,,,,,Item_77::Final_Geom,Item_77::Face_Curves,Item_77::Original_Curve,AutoCAD::Item_77::Scaled_Curve,AutoCAD::Item_77::Curve_Bbox,Item_77::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/77_silhouette.png,2000,3000,400,791,1598,2198,400,401,791,801
