name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
2,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/2_silhouette_contour.svg,,,,,,Item_2::Final_Geom,Item_2::Face_Curves,Item_2::Original_Curve,AutoCAD::Item_2::Scaled_Curve,AutoCAD::Item_2::Curve_Bbox,Item_2::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/2_silhouette.png,5763,8443,0,63,5762,8287,0,0,63,155
20,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/20_silhouette_contour.svg,cm,7.3,23.7,7.3,TRUE,Item_20::Final_Geom,Item_20::Face_Curves,Item_20::Original_Curve,AutoCAD::Item_20::Scaled_Curve,AutoCAD::Item_20::Curve_Bbox,Item_20::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/20_silhouette.png,9943,7954,4091,1205,5998,7375,4091,3944,1205,578
21,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/21_silhouette_contour.svg,cm,5.1,25.1,4.8,TRUE,Item_21::Final_Geom,Item_21::Face_Curves,Item_21::Original_Curve,AutoCAD::Item_21::Scaled_Curve,AutoCAD::Item_21::Curve_Bbox,Item_21::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/21_silhouette.png,3200,4000,1264,348,2035,3809,1264,1164,348,190
22,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/22_silhouette_contour.svg,cm,10.5,38.7,10.5,TRUE,Item_22::Final_Geom,Item_22::Face_Curves,Item_22::Original_Curve,AutoCAD::Item_22::Scaled_Curve,AutoCAD::Item_22::Curve_Bbox,Item_22::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/22_silhouette.png,6082,4866,2531,552,3610,4473,2531,2471,552,392
23,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/23_silhouette_contour.svg,cm,9,29.8,9.5,TRUE,Item_23::Final_Geom,Item_23::Face_Curves,Item_23::Original_Curve,AutoCAD::Item_23::Scaled_Curve,AutoCAD::Item_23::Curve_Bbox,Item_23::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/23_silhouette.png,3000,2400,1196,264,1816,2243,1196,1183,264,156
24,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/24_silhouette_contour.svg,cm,9.5,21.5,9.5,TRUE,Item_24::Final_Geom,Item_24::Face_Curves,Item_24::Original_Curve,AutoCAD::Item_24::Scaled_Curve,AutoCAD::Item_24::Curve_Bbox,Item_24::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/24_silhouette.png,10795,8636,4085,1392,6939,7812,4085,3855,1392,823
25,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/25_silhouette_contour.svg,cm,5,23.8,5,TRUE,Item_25::Final_Geom,Item_25::Face_Curves,Item_25::Original_Curve,AutoCAD::Item_25::Scaled_Curve,AutoCAD::Item_25::Curve_Bbox,Item_25::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/25_silhouette.png,720,1496,165,111,486,1194,165,233,111,301
252,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/252_silhouette_contour.svg,cm,35.5,27,5,FALSE,Item_252::Final_Geom,Item_252::Face_Curves,Item_252::Original_Curve,AutoCAD::Item_252::Scaled_Curve,AutoCAD::Item_252::Curve_Bbox,Item_252::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/252_silhouette.png,281,208,2,9,273,207,2,7,9,0
255,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/255_silhouette_contour.svg,cm,5.2,6.4,6.4,FALSE,Item_255::Final_Geom,Item_255::Face_Curves,Item_255::Original_Curve,AutoCAD::Item_255::Scaled_Curve,AutoCAD::Item_255::Curve_Bbox,Item_255::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/255_silhouette.png,101,99,4,5,83,95,4,17,5,3
256,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/256_silhouette_contour.svg,cm,19.5,14.4,14.4,FALSE,Item_256::Final_Geom,Item_256::Face_Curves,Item_256::Original_Curve,AutoCAD::Item_256::Scaled_Curve,AutoCAD::Item_256::Curve_Bbox,Item_256::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/256_silhouette.png,129,100,41,14,115,87,41,13,14,12
26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/26_silhouette_contour.svg,cm,8.1,25.7,8.1,TRUE,Item_26::Final_Geom,Item_26::Face_Curves,Item_26::Original_Curve,AutoCAD::Item_26::Scaled_Curve,AutoCAD::Item_26::Curve_Bbox,Item_26::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/26_silhouette.png,3200,4000,967,399,2312,3786,967,887,399,213
27,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/27_silhouette_contour.svg,cm,10.2,38.4,10.5,TRUE,Item_27::Final_Geom,Item_27::Face_Curves,Item_27::Original_Curve,AutoCAD::Item_27::Scaled_Curve,AutoCAD::Item_27::Curve_Bbox,Item_27::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/27_silhouette.png,3000,2400,1160,198,1820,2262,1160,1179,198,137
28,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/28_silhouette_contour.svg,cm,4,15.2,4,TRUE,Item_28::Final_Geom,Item_28::Face_Curves,Item_28::Original_Curve,AutoCAD::Item_28::Scaled_Curve,AutoCAD::Item_28::Curve_Bbox,Item_28::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/28_silhouette.png,952,1420,260,98,605,1013,260,346,98,406
29,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/29_silhouette_contour.svg,cm,6,21.6,6,TRUE,Item_29::Final_Geom,Item_29::Face_Curves,Item_29::Original_Curve,AutoCAD::Item_29::Scaled_Curve,AutoCAD::Item_29::Curve_Bbox,Item_29::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/29_silhouette.png,772,1408,127,0,521,1339,127,250,0,68
3,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/3_silhouette_contour.svg,,,,,,Item_3::Final_Geom,Item_3::Face_Curves,Item_3::Original_Curve,AutoCAD::Item_3::Scaled_Curve,AutoCAD::Item_3::Curve_Bbox,Item_3::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/3_silhouette.png,624,417,0,5,618,406,0,5,5,10
30,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/30_silhouette_contour.svg,cm,7.3,27.3,7.3,FALSE,Item_30::Final_Geom,Item_30::Face_Curves,Item_30::Original_Curve,AutoCAD::Item_30::Scaled_Curve,AutoCAD::Item_30::Curve_Bbox,Item_30::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/30_silhouette.png,5977,4782,2426,471,3726,4483,2426,2250,471,298
31,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/31_silhouette_contour.svg,cm,6,29.2,6,TRUE,Item_31::Final_Geom,Item_31::Face_Curves,Item_31::Original_Curve,AutoCAD::Item_31::Scaled_Curve,AutoCAD::Item_31::Curve_Bbox,Item_31::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/31_silhouette.png,5881,4705,2447,455,3498,4492,2447,2382,455,212
