name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
219,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/219_silhouette_contour.svg,cm,21.6,5.1,5.1,FALSE,Item_219::Final_Geom,Item_219::Face_Curves,Item_219::Original_Curve,AutoCAD::Item_219::Scaled_Curve,AutoCAD::Item_219::Curve_Bbox,Item_219::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/219_silhouette.png,3276,1355,35,218,3249,1235,35,26,218,119
230,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/230_silhouette_contour.svg,cm,26.7,1.9,1.9,FALSE,Item_230::Final_Geom,Item_230::Face_Curves,Item_230::Original_Curve,AutoCAD::Item_230::Scaled_Curve,AutoCAD::Item_230::Curve_Bbox,Item_230::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/230_silhouette.png,5057,3612,683,843,4400,3085,683,656,843,526
234,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/234_silhouette_contour.svg,cm,17.9,25,17.9,TRUE,Item_234::Final_Geom,Item_234::Face_Curves,Item_234::Original_Curve,AutoCAD::Item_234::Scaled_Curve,AutoCAD::Item_234::Curve_Bbox,Item_234::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/234_silhouette.png,158,157,21,27,139,141,21,18,27,15
235,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/235_silhouette_contour.svg,cm,17.5,17.7,17.5,TRUE,Item_235::Final_Geom,Item_235::Face_Curves,Item_235::Original_Curve,AutoCAD::Item_235::Scaled_Curve,AutoCAD::Item_235::Curve_Bbox,Item_235::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/235_silhouette.png,3176,3602,264,227,2955,3365,264,220,227,236
236,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/236_silhouette_contour.svg,cm,13,38.1,13,TRUE,Item_236::Final_Geom,Item_236::Face_Curves,Item_236::Original_Curve,AutoCAD::Item_236::Scaled_Curve,AutoCAD::Item_236::Curve_Bbox,Item_236::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/236_silhouette.png,2000,3000,436,692,1611,2634,436,388,692,365
260,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/260_silhouette_contour.svg,,,,,,Item_260::Final_Geom,Item_260::Face_Curves,Item_260::Original_Curve,AutoCAD::Item_260::Scaled_Curve,AutoCAD::Item_260::Curve_Bbox,Item_260::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/260_silhouette.png,9540,7695,0,0,9539,7694,0,0,0,0
270,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/270_silhouette_contour.svg,,,,,,Item_270::Final_Geom,Item_270::Face_Curves,Item_270::Original_Curve,AutoCAD::Item_270::Scaled_Curve,AutoCAD::Item_270::Curve_Bbox,Item_270::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/270_silhouette.png,284,443,0,0,283,442,0,0,0,0
271a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/271a_silhouette_contour.svg,,,,,,Item_271a::Final_Geom,Item_271a::Face_Curves,Item_271a::Original_Curve,AutoCAD::Item_271a::Scaled_Curve,AutoCAD::Item_271a::Curve_Bbox,Item_271a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/271a_silhouette.png,138,181,2,3,137,180,2,0,3,0
271b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/271b_silhouette_contour.svg,,,,,,Item_271b::Final_Geom,Item_271b::Face_Curves,Item_271b::Original_Curve,AutoCAD::Item_271b::Scaled_Curve,AutoCAD::Item_271b::Curve_Bbox,Item_271b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/271b_silhouette.png,143,180,0,3,141,179,0,1,3,0
272a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/272a_silhouette_contour.svg,,,,,,Item_272a::Final_Geom,Item_272a::Face_Curves,Item_272a::Original_Curve,AutoCAD::Item_272a::Scaled_Curve,AutoCAD::Item_272a::Curve_Bbox,Item_272a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/272a_silhouette.png,147,212,21,20,140,184,21,6,20,27
272b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/272b_silhouette_contour.svg,,,,,,Item_272b::Final_Geom,Item_272b::Face_Curves,Item_272b::Original_Curve,AutoCAD::Item_272b::Scaled_Curve,AutoCAD::Item_272b::Curve_Bbox,Item_272b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/272b_silhouette.png,152,214,8,18,135,194,8,16,18,19
273a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/273a_silhouette_contour.svg,,,,,,Item_273a::Final_Geom,Item_273a::Face_Curves,Item_273a::Original_Curve,AutoCAD::Item_273a::Scaled_Curve,AutoCAD::Item_273a::Curve_Bbox,Item_273a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/273a_silhouette.png,131,163,18,13,121,151,18,9,13,11
273b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/273b_silhouette_contour.svg,,,,,,Item_273b::Final_Geom,Item_273b::Face_Curves,Item_273b::Original_Curve,AutoCAD::Item_273b::Scaled_Curve,AutoCAD::Item_273b::Curve_Bbox,Item_273b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/273b_silhouette.png,123,158,2,9,114,152,2,8,9,5
274,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/274_silhouette_contour.svg,,,,,,Item_274::Final_Geom,Item_274::Face_Curves,Item_274::Original_Curve,AutoCAD::Item_274::Scaled_Curve,AutoCAD::Item_274::Curve_Bbox,Item_274::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/274_silhouette.png,473,355,0,7,472,354,0,0,7,0
275,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/275_silhouette_contour.svg,,,,,,Item_275::Final_Geom,Item_275::Face_Curves,Item_275::Original_Curve,AutoCAD::Item_275::Scaled_Curve,AutoCAD::Item_275::Curve_Bbox,Item_275::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/275_silhouette.png,655,491,0,34,654,464,0,0,34,26
276,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/276_silhouette_contour.svg,,,,,,Item_276::Final_Geom,Item_276::Face_Curves,Item_276::Original_Curve,AutoCAD::Item_276::Scaled_Curve,AutoCAD::Item_276::Curve_Bbox,Item_276::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/276_silhouette.png,258,377,0,1,257,376,0,0,1,0
